itemId,title,condition,price,currency,category_id,listing_date,end_date,collection_date,url,is_sold,sold_date
mock_293_0_1747674028_8157,Biography Ultra 5 inch,Acceptable,31.482778234771164,USD,293,2025-04-21T01:00:28.079719,2025-05-14T01:00:28.079719,2025-05-20T01:00:28.079719,https://example.com/item/mock_293_0_1747674028_8157,True,2025-05-14T01:00:28.079719
mock_293_1_1747674028_8775,Textbook Mini 12 inch,For parts or not working,56.493724466983124,USD,293,2025-04-13T01:00:28.079719,2025-05-16T01:00:28.079719,2025-05-20T01:00:28.079719,https://example.com/item/mock_293_1_1747674028_8775,True,2025-05-16T01:00:28.079719
mock_293_2_1747674028_9022,Magazine Plus 7 inch,Very Good,37.24215040094035,USD,293,2025-04-21T01:00:28.079719,2025-05-12T01:00:28.079719,2025-05-20T01:00:28.079719,https://example.com/item/mock_293_2_1747674028_9022,True,2025-05-12T01:00:28.079719
mock_293_3_1747674028_7821,Novel Max 7 GB,Acceptable,96.29802800526816,USD,293,2025-04-01T01:00:28.079719,2025-05-12T01:00:28.079719,2025-05-20T01:00:28.079719,https://example.com/item/mock_293_3_1747674028_7821,True,2025-05-12T01:00:28.079719
mock_293_4_1747674028_5254,Magazine Ultra 6 TB,Very Good,96.99619264712095,USD,293,2025-05-04T01:00:28.079719,2025-05-11T01:00:28.079719,2025-05-20T01:00:28.079719,https://example.com/item/mock_293_4_1747674028_5254,True,2025-05-11T01:00:28.079719
mock_293_5_1747674028_1868,Cookbook Ultra 11 ,Acceptable,91.53465329879786,USD,293,2025-04-13T01:00:28.079719,2025-05-17T01:00:28.079719,2025-05-20T01:00:28.079719,https://example.com/item/mock_293_5_1747674028_1868,True,2025-05-17T01:00:28.079719
mock_293_6_1747674028_4941,Textbook Ultra 10 TB,New,129.91737685916314,USD,293,2025-04-13T01:00:28.079719,2025-05-17T01:00:28.079719,2025-05-20T01:00:28.079719,https://example.com/item/mock_293_6_1747674028_4941,True,2025-05-17T01:00:28.079719
mock_293_7_1747674028_1262,Textbook Max 10 ,For parts or not working,77.69526324466558,USD,293,2025-04-18T01:00:28.079719,2025-05-19T01:00:28.079719,2025-05-20T01:00:28.079719,https://example.com/item/mock_293_7_1747674028_1262,True,2025-05-19T01:00:28.079719
mock_293_8_1747674028_1168,Novel Air 7 ,Good,103.79321305119045,USD,293,2025-04-10T01:00:28.079719,2025-05-14T01:00:28.079719,2025-05-20T01:00:28.079719,https://example.com/item/mock_293_8_1747674028_1168,True,2025-05-14T01:00:28.079719
mock_293_9_1747674028_8010,Novel Air 9 inch,Good,87.77273635759073,USD,293,2025-03-21T01:00:28.079719,2025-05-17T01:00:28.079719,2025-05-20T01:00:28.079719,https://example.com/item/mock_293_9_1747674028_8010,True,2025-05-17T01:00:28.079719
mock_293_10_1747674028_6306,Comic Standard 15 GB,Acceptable,44.40283762983289,USD,293,2025-04-24T01:00:28.079719,2025-05-18T01:00:28.079719,2025-05-20T01:00:28.079719,https://example.com/item/mock_293_10_1747674028_6306,True,2025-05-18T01:00:28.079719
mock_293_11_1747674028_8637,Novel Ultra 14 inch,Like New,75.46934680041403,USD,293,2025-05-05T01:00:28.079719,2025-05-12T01:00:28.079719,2025-05-20T01:00:28.079719,https://example.com/item/mock_293_11_1747674028_8637,True,2025-05-12T01:00:28.079719
mock_293_12_1747674028_5203,Textbook Plus 12 inch,New,33.5464386169326,USD,293,2025-04-21T01:00:28.079719,2025-05-12T01:00:28.079719,2025-05-20T01:00:28.079719,https://example.com/item/mock_293_12_1747674028_5203,True,2025-05-12T01:00:28.079719
mock_293_13_1747674028_3378,Textbook Mini 15 ,Good,44.86291699707119,USD,293,2025-03-30T01:00:28.079719,2025-05-17T01:00:28.079719,2025-05-20T01:00:28.079719,https://example.com/item/mock_293_13_1747674028_3378,True,2025-05-17T01:00:28.079719
mock_293_14_1747674028_6422,Novel Pro 6 inch,Very Good,93.8760211648313,USD,293,2025-05-03T01:00:28.079719,2025-05-12T01:00:28.079719,2025-05-20T01:00:28.079719,https://example.com/item/mock_293_14_1747674028_6422,True,2025-05-12T01:00:28.079719
mock_293_15_1747674028_9299,Cookbook Plus 15 GB,Like New,31.93410400864715,USD,293,2025-04-03T01:00:28.079719,2025-05-13T01:00:28.079719,2025-05-20T01:00:28.079719,https://example.com/item/mock_293_15_1747674028_9299,True,2025-05-13T01:00:28.079719
mock_293_16_1747674028_7521,Magazine Max 6 inch,New,36.69407030191543,USD,293,2025-04-17T01:00:28.079719,2025-05-15T01:00:28.079719,2025-05-20T01:00:28.079719,https://example.com/item/mock_293_16_1747674028_7521,True,2025-05-15T01:00:28.079719
mock_293_17_1747674028_9424,Cookbook Ultra 5 ,New,41.951998519276216,USD,293,2025-05-03T01:00:28.079719,2025-05-14T01:00:28.079719,2025-05-20T01:00:28.079719,https://example.com/item/mock_293_17_1747674028_9424,True,2025-05-14T01:00:28.079719
