itemId,title,condition,price,currency,category_id,listing_date,end_date,collection_date,url
mock_15032_0_1747671087_8905,iPhone Plus 14 GB,Like New,1017.49,USD,15032,2025-05-05T00:11:27.429946,2025-06-05T00:11:27.429946,2025-05-20T00:11:27.429946,https://example.com/item/mock_15032_0_1747671087_8905
mock_15032_1_1747671087_7861,Google Pixel Max 7 GB,New,480.62,USD,15032,2025-04-26T00:11:27.429946,2025-06-18T00:11:27.429946,2025-05-20T00:11:27.429946,https://example.com/item/mock_15032_1_1747671087_7861
mock_15032_2_1747671087_7879,Google Pixel Mini 14 inch,New,865.5,USD,15032,2025-05-09T00:11:27.429946,2025-06-06T00:11:27.429946,2025-05-20T00:11:27.429946,https://example.com/item/mock_15032_2_1747671087_7879
mock_15032_3_1747671087_3284,Sony Xperia Ultra 12 ,Acceptable,591.4,USD,15032,2025-04-29T00:11:27.429946,2025-06-17T00:11:27.429946,2025-05-20T00:11:27.429946,https://example.com/item/mock_15032_3_1747671087_3284
mock_15032_4_1747671087_5537,Sony Xperia Air 7 ,For parts or not working,205.33,USD,15032,2025-04-30T00:11:27.429946,2025-06-03T00:11:27.429946,2025-05-20T00:11:27.429946,https://example.com/item/mock_15032_4_1747671087_5537
mock_15032_5_1747671087_4673,Sony Xperia Mini 7 inch,Good,574.39,USD,15032,2025-05-15T00:11:27.429946,2025-06-04T00:11:27.429946,2025-05-20T00:11:27.429946,https://example.com/item/mock_15032_5_1747671087_4673
mock_15032_6_1747671087_1820,iPhone Air 7 ,New,875.6,USD,15032,2025-04-25T00:11:27.429946,2025-06-01T00:11:27.429946,2025-05-20T00:11:27.429946,https://example.com/item/mock_15032_6_1747671087_1820
mock_15032_7_1747671087_8404,Xiaomi Air 10 inch,Good,234.56,USD,15032,2025-05-06T00:11:27.429946,2025-05-27T00:11:27.429946,2025-05-20T00:11:27.429946,https://example.com/item/mock_15032_7_1747671087_8404
mock_15032_8_1747671087_1998,Sony Xperia Mini 5 ,Very Good,778.29,USD,15032,2025-05-08T00:11:27.429946,2025-05-31T00:11:27.429946,2025-05-20T00:11:27.429946,https://example.com/item/mock_15032_8_1747671087_1998
mock_15032_9_1747671087_9702,Huawei Pro 15 TB,Good,691.65,USD,15032,2025-04-28T00:11:27.429946,2025-06-16T00:11:27.429946,2025-05-20T00:11:27.429946,https://example.com/item/mock_15032_9_1747671087_9702
